Gene,seqnames,start,end,source,type,score,Alias,start_in_plot,end_in_plot,final_posi_plot
11055at155619,Scaffold01,3338621,3340783,BUSCO,gene,837.3,,3338621,3340783,3339702
11065at155619,Scaffold11,2571829,2576940,BUSCO,gene,484.1,Pleckstrin homology domain,45985143,45990254,45987698.5
11074at155619,Scaffold03,3763027,3766390,BUSCO,gene,796.9,,13313445,13316808,13315126.5
11077at155619,Scaffold06,437501,439880,BUSCO,gene,787.4,hexokinase,26142405,26144784,26143594.5
11156at155619,Scaffold01,2197524,2201090,BUSCO,gene,525.4,kinase-like protein,2197524,2201090,2199307
11213at155619,Scaffold05,1667142,1670410,BUSCO,gene,617.5,carbamoyl-phosphate synthase,20945791,20949059,20947425
11217at155619,Scaffold03,4438736,4440456,BUSCO,gene,302.7,RNA-binding domain superfamily,13989154,13990874,13990014
11278at155619,Scaffold04,1090689,1094258,BUSCO,gene,820.4,Alpha-D-phosphohexomutase  alpha/beta/alpha domain I,NA,15583003,15586572
11310at155619,Scaffold02,2578779,2583409,BUSCO,gene,479.2,,6847361,6851991,6849676
11313at155619,Scaffold02,3250446,3252604,BUSCO,gene,467.9,Rsm22-domain-containing protein,7519028,7521186,7520107
11314at155619,Scaffold07,2775617,2777922,BUSCO,gene,533.9,,31100514,31102819,31101666.5
11428at155619,Scaffold03,3836453,3842083,BUSCO,gene,811.8,DUF625-domain-containing protein,13386871,13392501,13389686
11480at155619,Scaffold07,1619097,1623131,BUSCO,gene,314.9,kinase-like protein,29943994,29948028,29946011
11483at155619,Scaffold04,2419418,2421153,BUSCO,gene,756.8,,16911732,16913467,16912599.5
11586at155619,Scaffold03,3668531,3670902,BUSCO,gene,723.9,Alpha-1 3-glucosyltransferase,NA,13218949,13221320
11687at155619,Scaffold06,2093517,2099193,BUSCO,gene,324,,27798421,27804097,27801259
11715at155619,Scaffold10,1634834,1637494,BUSCO,gene,730.6,bifunctional 6-phosphofructo-2-kinase/fructose-2 6-bisphosphate 2-phosphatase,NA,42234937,42237597
11780at155619,Scaffold02,3834193,3837632,BUSCO,gene,522.8,,8102775,8106214,8104494.5
11823at155619,Scaffold09,1809422,1811137,BUSCO,gene,731,translation initiation factor eIF2 gamma subunit,38055326,38057041,38056183.5
11828at155619,Scaffold04,2952870,2955410,BUSCO,gene,589.8,,17445184,17447724,17446454
11877at155619,Scaffold05,1593670,1597514,BUSCO,gene,845,Ankyrin repeat-containing domain,20872319,20876163,20874241
11939at155619,Scaffold01,2779230,2781048,BUSCO,gene,767,cysteine desulfurase,2779230,2781048,2780139
12021at155619,Scaffold01,3304333,3306736,BUSCO,gene,893.6,CDC45-like protein,3304333,3306736,3305534.5
12091at155619,Scaffold01,2675405,2677272,BUSCO,gene,823.5,Tubulin gamma chain,2675405,2677272,2676338.5
12094at155619,Scaffold07,2204545,2206113,BUSCO,gene,703.8,mitochondrial processing peptidase beta subunit,30529442,30531010,30530226
12097at155619,Scaffold08,1033403,1035359,BUSCO,gene,689.7,TMS membrane protein/tumor differentially expressed protein,33598474,33600430,33599452
12154at155619,Scaffold07,1640485,1643229,BUSCO,gene,749.7,Na+ h+ exchanger 1,29965382,29968126,29966754
12163at155619,Scaffold08,667417,669372,BUSCO,gene,410.9,,33232488,33234443,33233465.5
12197at155619,Scaffold02,2288458,2290327,BUSCO,gene,929.6,Importin subunit alpha,6557040,6558909,6557974.5
12216at155619,Scaffold08,2170382,2174973,BUSCO,gene,757.4,,34735453,34740044,34737748.5
12343at155619,Scaffold11,2974215,2976125,BUSCO,gene,847.9,,46387529,46389439,46388484
12351at155619,Scaffold05,3759415,3762111,BUSCO,gene,660.8,,23038064,23040760,23039412
12387at155619,Scaffold01,3518255,3519930,BUSCO,gene,684.8,,3518255,3519930,3519092.5
12408at155619,Scaffold01,3178114,3183181,BUSCO,gene,867.3,,3178114,3183181,3180647.5
1249at155619,Scaffold11,2184987,2189670,BUSCO,gene,1921.7,P-type ATPase,45598301,45602984,45600642.5
1255at155619,Scaffold02,1413583,1419271,BUSCO,gene,1465.3,tricalbin,5682165,5687853,5685009
12623at155619,Scaffold02,4077446,4081323,BUSCO,gene,722.3,,8346028,8349905,8347966.5
12689at155619,Scaffold01,1003030,1004902,BUSCO,gene,692.5,,1003030,1004902,1003966
12798at155619,Scaffold02,1526501,1531995,BUSCO,gene,285.5,,5795083,5800577,5797830
12864at155619,Scaffold09,1282493,1287318,BUSCO,gene,644.2,Nitrogen permease regulator 3,37528397,37533222,37530809.5
12911at155619,Scaffold08,2608227,2610056,BUSCO,gene,448.3,,35173298,35175127,35174212.5
12931at155619,Scaffold07,977470,979046,BUSCO,gene,700.3,,29302367,29303943,29303155
12939at155619,Scaffold01,1478975,1480801,BUSCO,gene,830.2,,1478975,1480801,1479888
12945at155619,Scaffold02,3246824,3248831,BUSCO,gene,719.5,cysteine proteinase,7515406,7517413,7516409.5
13042at155619,Scaffold10,1189630,1191365,BUSCO,gene,886.2,,41789733,41791468,41790600.5
13132at155619,Scaffold01,1627138,1629467,BUSCO,gene,825.5,EF-hand domain,1627138,1629467,1628302.5
13366at155619,Scaffold03,3153688,3157102,BUSCO,gene,619.4,Kelch-type beta propeller,12704106,12707520,12705813
13371at155619,Scaffold01,996601,998233,BUSCO,gene,770.7,peptide chain release factor eRF/aRF subunit 1,996601,998233,997417
1345at155619,Scaffold02,5001603,5005950,BUSCO,gene,1465.8,ISWI  HAND domain,NA,9270185,9274532
13478at155619,Scaffold02,2865339,2868111,BUSCO,gene,781.3,,7133921,7136693,7135307
13631at155619,Scaffold05,2779786,2783890,BUSCO,gene,605.4,,22058435,22062539,22060487
13672at155619,Scaffold05,4940753,4942493,BUSCO,gene,354.9,cop9 signalosome complex subunit 3,24219402,24221142,24220272
13699at155619,Scaffold03,2667498,2672601,BUSCO,gene,583.6,mitochondrial carrier,12217916,12223019,12220467.5
13736at155619,Scaffold03,3344923,3348228,BUSCO,gene,595.9,WD40-repeat-containing domain,12895341,12898646,12896993.5
13786at155619,Scaffold02,4197191,4201653,BUSCO,gene,510.7,,8465773,8470235,8468004
13831at155619,Scaffold04,3246855,3249526,BUSCO,gene,855.8,,17739169,17741840,17740504.5
13949at155619,Scaffold08,1396854,1398513,BUSCO,gene,738.9,26S proteasome subunit P45,33961925,33963584,33962754.5
13952at155619,Scaffold02,3755343,3757127,BUSCO,gene,725.4,RuvB-like helicase,8023925,8025709,8024817
1396at155619,Scaffold02,4275613,4282474,BUSCO,gene,1486.6,,8544195,8551056,8547625.5
13989at155619,Scaffold05,6009458,6015928,BUSCO,gene,172.5,,25288107,25294577,25291342
14031at155619,Scaffold01,1017365,1019627,BUSCO,gene,593.6,kinase-like protein,1017365,1019627,1018496
14154at155619,Scaffold06,1207813,1209800,BUSCO,gene,717.9,serine palmitoyltransferase,26912717,26914704,26913710.5
14168at155619,Scaffold03,3801152,3802672,BUSCO,gene,256.3,,13351570,13353090,13352330
14216at155619,Scaffold02,1840508,1842429,BUSCO,gene,447.7,,6109090,6111011,6110050.5
14280at155619,Scaffold01,363696,365486,BUSCO,gene,333.5,,363696,365486,364591
1432at155619,Scaffold07,2077182,2083207,BUSCO,gene,1841.1,,30402079,30408104,30405091.5
14344at155619,Scaffold04,3965310,3968315,BUSCO,gene,636.8,Actin-related protein 8,18457624,18460629,18459126.5
14376at155619,Scaffold02,3054959,3056636,BUSCO,gene,765.3,Rab GDP dissociation inhibitor,7323541,7325218,7324379.5
14379at155619,Scaffold02,2906691,2908857,BUSCO,gene,543.4,,7175273,7177439,7176356
14586at155619,Scaffold07,3708769,3710775,BUSCO,gene,580.5,Gpi16 subunit GPI transamidase component,32033666,32035672,32034669
14628at155619,Scaffold08,1227440,1229610,BUSCO,gene,641.4,,33792511,33794681,33793596
14664at155619,Scaffold01,2203062,2206831,BUSCO,gene,706.9,,2203062,2206831,2204946.5
14732at155619,Scaffold06,1465105,1466778,BUSCO,gene,723.5,,27170009,27171682,27170845.5
14863at155619,Scaffold04,2435850,2438435,BUSCO,gene,418.3,Vps5-domain-containing protein,16928164,16930749,16929456.5
14884at155619,Scaffold01,1828553,1836091,BUSCO,gene,659.3,,1828553,1836091,1832322
15198at155619,Scaffold05,6153755,6156425,BUSCO,gene,521,kinase-like protein,25432404,25435074,25433739
1520at155619,Scaffold01,1282989,1286886,BUSCO,gene,1091.9,,1282989,1286886,1284937.5
15242at155619,Scaffold02,1421061,1423727,BUSCO,gene,637.6,,5689643,5692309,5690976
15275at155619,Scaffold05,1016759,1019360,BUSCO,gene,702.7,Choline transporter-like,20295408,20298009,20296708.5
15287at155619,Scaffold07,1827123,1828853,BUSCO,gene,427.7,tRNA-splicing endonuclease  subunit Sen54,NA,30152020,30153750
152at155619,Scaffold03,4418866,4425165,BUSCO,gene,1328.6,Nucleoporin Nup188,13969284,13975583,13972433.5
15315at155619,Scaffold05,776690,778724,BUSCO,gene,657.2,,20055339,20057373,20056356
15341at155619,Scaffold05,2023602,2024673,BUSCO,gene,283.6,,21302251,21303322,21302786.5
15424at155619,Scaffold09,1998004,2000301,BUSCO,gene,742.4,,38243908,38246205,38245056.5
15611at155619,Scaffold02,3942240,3944767,BUSCO,gene,608.6,,8210822,8213349,8212085.5
15628at155619,Scaffold03,3885888,3887839,BUSCO,gene,730.1,alcohol dehydrogenase,13436306,13438257,13437281.5
15704at155619,Scaffold03,3993650,3996087,BUSCO,gene,644.1,,13544068,13546505,13545286.5
15732at155619,Scaffold02,3945547,3947392,BUSCO,gene,609.2,,8214129,8215974,8215051.5
15762at155619,Scaffold03,2223910,2232878,BUSCO,gene,340.9,Winged helix-like DNA-binding domain superfamily,11774328,11783296,11778812
15791at155619,Scaffold01,2574385,2575932,BUSCO,gene,599.8,,2574385,2575932,2575158.5
15795at155619,Scaffold05,968531,970761,BUSCO,gene,606.6,Phosphatidate cytidylyltransferase,20247180,20249410,20248295
1581at155619,Scaffold01,1502122,1506297,BUSCO,gene,897.8,,1502122,1506297,1504209.5
1586at155619,Scaffold01,2142609,2147406,BUSCO,gene,716.4,,2142609,2147406,2145007.5
15886at155619,Scaffold03,3643026,3645422,BUSCO,gene,686.9,DUF1716-domain-containing protein,13193444,13195840,13194642
1588at155619,Scaffold04,2810506,2816508,BUSCO,gene,1152.6,,17302820,17308822,17305821
15997at155619,Scaffold04,3647388,3650564,BUSCO,gene,697.6,G patch domain-containing protein 1,18139702,18142878,18141290
16013at155619,Scaffold03,2915924,2918775,BUSCO,gene,457,Transcription factor IIIC  subunit 5,NA,12466342,12469193
16038at155619,Scaffold05,2595790,2597245,BUSCO,gene,424.2,Arginine N-methyltransferase 2,21874439,21875894,21875166.5
16068at155619,Scaffold02,958390,963659,BUSCO,gene,441,,5226972,5232241,5229606.5
16171at155619,Scaffold01,1892877,1894663,BUSCO,gene,727.9,,1892877,1894663,1893770
16231at155619,Scaffold02,1279905,1281842,BUSCO,gene,487.1,,5548487,5550424,5549455.5
16251at155619,Scaffold08,1143018,1144872,BUSCO,gene,713.4,,33708089,33709943,33709016
16297at155619,Scaffold01,2524838,2527599,BUSCO,gene,466.1,,2524838,2527599,2526218.5
16301at155619,Scaffold05,2804276,2807703,BUSCO,gene,980.8,Cysteinyl-tRNA synthetase,22082925,22086352,22084638.5
16347at155619,Scaffold01,3532035,3533739,BUSCO,gene,589.3,,3532035,3533739,3532887
16425at155619,Scaffold04,3160454,3161980,BUSCO,gene,603.6,,17652768,17654294,17653531
16542at155619,Scaffold02,2017642,2019430,BUSCO,gene,805.8,,6286224,6288012,6287118
16558at155619,Scaffold02,1133248,1134627,BUSCO,gene,493.6,,5401830,5403209,5402519.5
16610at155619,Scaffold02,2320529,2322380,BUSCO,gene,756.1,,6589111,6590962,6590036.5
16649at155619,Scaffold06,1102425,1104286,BUSCO,gene,361.2,N2227-domain-containing protein,26807329,26809190,26808259.5
16659at155619,Scaffold01,3075369,3081202,BUSCO,gene,656.7,clathrin adaptor mu subunit,3075369,3081202,3078285.5
16677at155619,Scaffold05,1577534,1579921,BUSCO,gene,721.9,peroxisome targeting signal receptor,20856183,20858570,20857376.5
16686at155619,Scaffold01,2269876,2271366,BUSCO,gene,706.8,,2269876,2271366,2270621
16707at155619,Scaffold04,2505895,2507317,BUSCO,gene,284.2,,16998209,16999631,16998920
16808at155619,Scaffold01,1759693,1761259,BUSCO,gene,730,26S proteasome subunit P45,1759693,1761259,1760476
16881at155619,Scaffold08,2575639,2578872,BUSCO,gene,695.4,,35140710,35143943,35142326.5
16913at155619,Scaffold08,1918804,1920087,BUSCO,gene,385.7,,34483875,34485158,34484516.5
17036at155619,Scaffold05,4539118,4542110,BUSCO,gene,373.5,Zinc finger  RING-type,NA,23817767,23820759
17087at155619,Scaffold03,4033541,4034857,BUSCO,gene,329,,13583959,13585275,13584617
17119at155619,Scaffold04,2361502,2367350,BUSCO,gene,549.9,dihydroxyacetone kinase,16853816,16859664,16856740
17120at155619,Scaffold08,953708,956038,BUSCO,gene,636.1,,33518779,33521109,33519944
17226at155619,Scaffold02,2057944,2060496,BUSCO,gene,535.7,,6326526,6329078,6327802
17242at155619,Scaffold01,1471217,1473501,BUSCO,gene,502.5,,1471217,1473501,1472359
17260at155619,Scaffold04,3533934,3535816,BUSCO,gene,372.2,,18026248,18028130,18027189
17280at155619,Scaffold03,4282593,4284717,BUSCO,gene,594.8,,13833011,13835135,13834073
17306at155619,Scaffold09,2297181,2299795,BUSCO,gene,764.4,,38543085,38545699,38544392
17316at155619,Scaffold03,1612101,1613636,BUSCO,gene,601.7,Deoxyhypusine synthase,11162519,11164054,11163286.5
17392at155619,Scaffold02,1591817,1593894,BUSCO,gene,284.3,,5860399,5862476,5861437.5
17441at155619,Scaffold02,4510482,4514439,BUSCO,gene,401.8,,8779064,8783021,8781042.5
17529at155619,Scaffold11,2364520,2366135,BUSCO,gene,525.8,kinase-like protein,45777834,45779449,45778641.5
17563at155619,Scaffold03,3447187,3448982,BUSCO,gene,434.2,,12997605,12999400,12998502.5
17612at155619,Scaffold04,2477759,2479117,BUSCO,gene,482.2,,16970073,16971431,16970752
17669at155619,Scaffold03,2203608,2205579,BUSCO,gene,507.5,,11754026,11755997,11755011.5
17860at155619,Scaffold04,2218871,2220600,BUSCO,gene,577.3,,16711185,16712914,16712049.5
17887at155619,Scaffold03,2625280,2626865,BUSCO,gene,620.4,Mitochondrial NAD-dependent isocitrate dehydrogenase subunit 1,12175698,12177283,12176490.5
17927at155619,Scaffold11,2089738,2092401,BUSCO,gene,482.5,PIN domain-like protein,45503052,45505715,45504383.5
17956at155619,Scaffold03,2010797,2012852,BUSCO,gene,743,acyl-CoA dehydrogenase NM domain-like protein,11561215,11563270,11562242.5
17991at155619,Scaffold03,3584695,3586510,BUSCO,gene,537.6,cell adhesion protein byn-1,13135113,13136928,13136020.5
18034at155619,Scaffold11,725220,726860,BUSCO,gene,570.6,Tyrosine--tRNA ligase,44138534,44140174,44139354
1804at155619,Scaffold01,1769237,1772793,BUSCO,gene,692.2,,1769237,1772793,1771015
18096at155619,Scaffold04,3833066,3834836,BUSCO,gene,559.7,,18325380,18327150,18326265
18154at155619,Scaffold03,2971593,2973929,BUSCO,gene,462.9,,12522011,12524347,12523179
18163at155619,Scaffold03,2931269,2933685,BUSCO,gene,531.9,Pkinase-domain-containing protein,12481687,12484103,12482895
18204at155619,Scaffold10,1233827,1235573,BUSCO,gene,542.7,,41833930,41835676,41834803
18206at155619,Scaffold04,760847,762141,BUSCO,gene,280.1,S-adenosyl-L-methionine-dependent methyltransferase,15253161,15254455,15253808
18296at155619,Scaffold03,1805835,1807206,BUSCO,gene,612,Cytoplasmic tRNA 2-thiolation protein 1,11356253,11357624,11356938.5
18323at155619,Scaffold02,2047729,2052061,BUSCO,gene,401.5,aspartate aminotransferase,6316311,6320643,6318477
18326at155619,Scaffold02,3519247,3520932,BUSCO,gene,511,,7787829,7789514,7788671.5
18428at155619,Scaffold01,2768829,2770702,BUSCO,gene,345.5,,2768829,2770702,2769765.5
18432at155619,Scaffold04,4070633,4072272,BUSCO,gene,676.2,,18562947,18564586,18563766.5
18478at155619,Scaffold02,1842853,1844710,BUSCO,gene,654.5,ATPase  AAA-type  conserved site,NA,NA,6111435
18515at155619,Scaffold07,2366882,2368555,BUSCO,gene,499.6,UDP-galactose transporter,30691779,30693452,30692615.5
18581at155619,Scaffold01,2851059,2852785,BUSCO,gene,533.5,,2851059,2852785,2851922
18620at155619,Scaffold05,2095281,2097054,BUSCO,gene,486.8,,21373930,21375703,21374816.5
18677at155619,Scaffold04,3622177,3625579,BUSCO,gene,225.5,TRAUB-domain-containing protein,18114491,18117893,18116192
18697at155619,Scaffold05,1177430,1182087,BUSCO,gene,631,Rab-GTPase-TBC domain,20456079,20460736,20458407.5
18708at155619,Scaffold01,2992895,2996236,BUSCO,gene,476.1,,2992895,2996236,2994565.5
18711at155619,Scaffold02,1300896,1302579,BUSCO,gene,176.5,,5569478,5571161,5570319.5
18712at155619,Scaffold07,1992402,1994391,BUSCO,gene,456.9,,30317299,30319288,30318293.5
18802at155619,Scaffold01,1218680,1220186,BUSCO,gene,504.9,,1218680,1220186,1219433
18804at155619,Scaffold02,1465642,1467446,BUSCO,gene,503.3,Dol-P-Glc,5734224,5736028,5735126
18839at155619,Scaffold01,1273986,1277126,BUSCO,gene,494.7,,1273986,1277126,1275556
18862at155619,Scaffold02,2927312,2932705,BUSCO,gene,493.1,ARM repeat-containing protein,7195894,7201287,7198590.5
18907at155619,Scaffold05,1892913,1895555,BUSCO,gene,210.6,,21171562,21174204,21172883
18999at155619,Scaffold04,2294507,2297500,BUSCO,gene,225.2,,16786821,16789814,16788317.5
19019at155619,Scaffold05,5324030,5325369,BUSCO,gene,493.8,,24602679,24604018,24603348.5
19052at155619,Scaffold01,1350010,1351623,BUSCO,gene,193.7,,1350010,1351623,1350816.5
19103at155619,Scaffold01,2968335,2972828,BUSCO,gene,665.7,,2968335,2972828,2970581.5
19204at155619,Scaffold02,1099785,1102150,BUSCO,gene,552.7,,5368367,5370732,5369549.5
19416at155619,Scaffold03,4436778,4438420,BUSCO,gene,495.5,,13987196,13988838,13988017
19432at155619,Scaffold02,3689790,3691941,BUSCO,gene,796.4,histidyl-tRNA synthetase,7958372,7960523,7959447.5
1943at155619,Scaffold02,2540527,2544327,BUSCO,gene,1332.6,Pep3/Vps18/deep orange,6809109,6812909,6811009
19590at155619,Scaffold01,3110025,3113665,BUSCO,gene,514.7,,3110025,3113665,3111845
19671at155619,Scaffold05,2415565,2417034,BUSCO,gene,459.9,,21694214,21695683,21694948.5
19727at155619,Scaffold07,2363790,2365404,BUSCO,gene,262.6,cobW-domain-containing protein,30688687,30690301,30689494
19846at155619,Scaffold12,1644387,1646387,BUSCO,gene,559.7,,48706286,48708286,48707286
19853at155619,Scaffold10,1715025,1716804,BUSCO,gene,422.7,,42315128,42316907,42316017.5
19867at155619,Scaffold02,2885770,2888828,BUSCO,gene,487.7,,7154352,7157410,7155881
19966at155619,Scaffold05,1895865,1897107,BUSCO,gene,584,,21174514,21175756,21175135
20073at155619,Scaffold11,1628871,1630025,BUSCO,gene,425.3,Metallo-dependent hydrolase,45042185,45043339,45042762
20158at155619,Scaffold07,2275000,2276449,BUSCO,gene,404.9,,30599897,30601346,30600621.5
2016at155619,Scaffold02,3225544,3230609,BUSCO,gene,1384.6,ATP-dependent RNA helicase,7494126,7499191,7496658.5
20170at155619,Scaffold02,1181147,1183261,BUSCO,gene,595.1,,5449729,5451843,5450786
20174at155619,Scaffold03,3277228,3278767,BUSCO,gene,586.1,,12827646,12829185,12828415.5
20253at155619,Scaffold02,3510592,3511986,BUSCO,gene,664.4,P-loop containing nucleoside triphosphate hydrolase protein,7779174,7780568,7779871
20342at155619,Scaffold01,552271,554207,BUSCO,gene,605.7,,552271,554207,553239
20353at155619,Scaffold01,1596570,1603258,BUSCO,gene,478.5,,1596570,1603258,1599914
20538at155619,Scaffold01,3410992,3413491,BUSCO,gene,578.4,,3410992,3413491,3412241.5
20571at155619,Scaffold02,2446459,2452258,BUSCO,gene,342,,6715041,6720840,6717940.5
20582at155619,Scaffold01,1476626,1478541,BUSCO,gene,418.5,SHQ1-domain-containing protein,1476626,1478541,1477583.5
20610at155619,Scaffold03,3852519,3855955,BUSCO,gene,215.7,,13402937,13406373,13404655
20620at155619,Scaffold08,1536723,1538629,BUSCO,gene,509.8,,34101794,34103700,34102747
20627at155619,Scaffold05,1664871,1667000,BUSCO,gene,269.3,Spo11/DNA topoisomerase VI subunit A,20943520,20945649,20944584.5
20684at155619,Scaffold02,3163900,3166910,BUSCO,gene,537.5,,7432482,7435492,7433987
20721at155619,Scaffold01,2522341,2524600,BUSCO,gene,334.8,,2522341,2524600,2523470.5
20729at155619,Scaffold05,5118932,5120885,BUSCO,gene,715.5,,24397581,24399534,24398557.5
20735at155619,Scaffold02,3479205,3482172,BUSCO,gene,205.8,,7747787,7750754,7749270.5
20880at155619,Scaffold03,2292734,2296374,BUSCO,gene,477.3,cAMP-dependent protein kinase regulatory subunit,11843152,11846792,11844972
20895at155619,Scaffold01,3516559,3517997,BUSCO,gene,531.8,,3516559,3517997,3517278
20920at155619,Scaffold01,1189842,1193363,BUSCO,gene,279.6,,1189842,1193363,1191602.5
20934at155619,Scaffold03,3670960,3672790,BUSCO,gene,581.6,P-loop containing nucleoside triphosphate hydrolase protein,13221378,13223208,13222293
20939at155619,Scaffold03,3380621,3381979,BUSCO,gene,536,,12931039,12932397,12931718
20979at155619,Scaffold08,812509,814485,BUSCO,gene,217.3,Zinc finger C2H2 superfamily,33377580,33379556,33378568
21172at155619,Scaffold04,3674021,3680614,BUSCO,gene,648.1,,18166335,18172928,18169631.5
21215at155619,Scaffold02,4597751,4599989,BUSCO,gene,500,Pkinase-domain-containing protein,8866333,8868571,8867452
21271at155619,Scaffold01,3153959,3155330,BUSCO,gene,577.6,Septin,3153959,3155330,3154644.5
21387at155619,Scaffold08,568143,570781,BUSCO,gene,627.9,P-loop containing nucleoside triphosphate hydrolase protein,33133214,33135852,33134533
21421at155619,Scaffold02,2006830,2008023,BUSCO,gene,391.1,mitochondrial carrier,6275412,6276605,6276008.5
2144at155619,Scaffold01,4011484,4017994,BUSCO,gene,1515.4,NAD(P) transhydrogenase  alpha subunit,NA,4011484,4017994
21555at155619,Scaffold02,4349669,4353077,BUSCO,gene,254.8,,8618251,8621659,8619955
21584at155619,Scaffold05,5242526,5244423,BUSCO,gene,459.4,cora-domain-containing protein,24521175,24523072,24522123.5
21599at155619,Scaffold06,977285,979600,BUSCO,gene,506.1,,26682189,26684504,26683346.5
21624at155619,Scaffold06,852899,854812,BUSCO,gene,569.2,,26557803,26559716,26558759.5
21628at155619,Scaffold02,3052847,3054717,BUSCO,gene,492.3,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,7321429,7323299,7322364
21744at155619,Scaffold11,2530530,2534247,BUSCO,gene,627,cysteine proteinase,45943844,45947561,45945702.5
21872at155619,Scaffold09,2208318,2209786,BUSCO,gene,529.2,,38454222,38455690,38454956
21902at155619,Scaffold03,3998645,4002935,BUSCO,gene,558.6,AFG1-like ATPase,13549063,13553353,13551208
21918at155619,Scaffold02,4693276,4695509,BUSCO,gene,653,,8961858,8964091,8962974.5
22216at155619,Scaffold01,1468544,1470705,BUSCO,gene,168.2,,1468544,1470705,1469624.5
22222at155619,Scaffold01,2042343,2046875,BUSCO,gene,514.3,,2042343,2046875,2044609
22238at155619,Scaffold02,2873352,2874570,BUSCO,gene,409,,7141934,7143152,7142543
2225at155619,Scaffold02,3367732,3373558,BUSCO,gene,1139.6,,7636314,7642140,7639227
22270at155619,Scaffold09,1747410,1749036,BUSCO,gene,390,RNA polymerase I associated factor  A49-like protein,NA,37993314,37994940
22292at155619,Scaffold05,1518747,1521805,BUSCO,gene,535.5,,20797396,20800454,20798925
22414at155619,Scaffold01,786633,787797,BUSCO,gene,495,,786633,787797,787215
