Gene,Species,value
12163at155619,T. fuscoviolaceum,0.027314837
12163at155619,T. abietinum,0.017860534
12197at155619,T. fuscoviolaceum,0.007033466
12197at155619,T. abietinum,0.013060604
12216at155619,T. fuscoviolaceum,0.001957458
12216at155619,T. abietinum,0.014012613
12343at155619,T. abietinum,0.015756179
12343at155619,T. fuscoviolaceum,0.008114197
12351at155619,T. fuscoviolaceum,0.015656111
12351at155619,T. abietinum,0.026676798
12387at155619,T. fuscoviolaceum,0.0016459
12387at155619,T. abietinum,0.016800414
12408at155619,T. fuscoviolaceum,0.01022625
12408at155619,T. abietinum,0.020254843
1249at155619,T. abietinum,0.014589382
1249at155619,T. fuscoviolaceum,0.011688139
1255at155619,T. fuscoviolaceum,0.004672272
1255at155619,T. abietinum,0.019307683
12623at155619,T. fuscoviolaceum,0.010132147
12623at155619,T. abietinum,0.017651762
12689at155619,T. abietinum,0.014439131
12689at155619,T. fuscoviolaceum,0.015987182
12798at155619,T. abietinum,0.014728739
12798at155619,T. fuscoviolaceum,0.016088925
12864at155619,T. fuscoviolaceum,0.025740144
12864at155619,T. abietinum,0.017385392
12911at155619,T. fuscoviolaceum,0.012868547
12911at155619,T. abietinum,0.019606725
12931at155619,T. abietinum,0.01736404
12931at155619,T. fuscoviolaceum,0.011438601
12939at155619,T. abietinum,0.014860624
12939at155619,T. fuscoviolaceum,0.0190709
12945at155619,T. fuscoviolaceum,0.00291212
12945at155619,T. abietinum,0.010652884
13042at155619,T. fuscoviolaceum,0.00944387
13042at155619,T. abietinum,0.01266299
13132at155619,T. abietinum,0.016055437
13132at155619,T. fuscoviolaceum,0.01399423
13366at155619,T. abietinum,0.038335128
13366at155619,T. fuscoviolaceum,0.0212989
13371at155619,T. abietinum,0.013511595
13371at155619,T. fuscoviolaceum,0.009982937
1345at155619,T. abietinum,0.02195318
1345at155619,T. fuscoviolaceum,0.006947109
13478at155619,T. fuscoviolaceum,0.011733333
13478at155619,T. abietinum,0.025205214
13631at155619,T. abietinum,0.012845139
13631at155619,T. fuscoviolaceum,0.008805356
13672at155619,T. abietinum,0.01600365
13672at155619,T. fuscoviolaceum,0.023944401
13699at155619,T. abietinum,0.025596503
13699at155619,T. fuscoviolaceum,0.008866947
13736at155619,T. fuscoviolaceum,0.003673015
13736at155619,T. abietinum,0.020550264
13786at155619,T. abietinum,0.011417408
13786at155619,T. fuscoviolaceum,0.022114131
13831at155619,T. abietinum,0.017293486
13831at155619,T. fuscoviolaceum,0.004717167
13949at155619,T. abietinum,0.015667664
13949at155619,T. fuscoviolaceum,0.015444706
13952at155619,T. fuscoviolaceum,0.007440312
13952at155619,T. abietinum,0.01420571
1396at155619,T. abietinum,0.01677266
1396at155619,T. fuscoviolaceum,0.009802179
13989at155619,T. abietinum,0.024850861
13989at155619,T. fuscoviolaceum,0.018814644
14031at155619,T. abietinum,0.00969865
14031at155619,T. fuscoviolaceum,0.009290791
14154at155619,T. abietinum,0.018165319
14154at155619,T. fuscoviolaceum,0.030152194
14168at155619,T. fuscoviolaceum,0.013909556
14168at155619,T. abietinum,0.021703354
14216at155619,T. abietinum,0.00896553
14216at155619,T. fuscoviolaceum,0.001689708
14280at155619,T. abietinum,0.020038124
14280at155619,T. fuscoviolaceum,0.018492051
1432at155619,T. abietinum,0.019229743
1432at155619,T. fuscoviolaceum,0.013135327
14344at155619,T. fuscoviolaceum,0.007620952
14344at155619,T. abietinum,0.016003478
14376at155619,T. abietinum,0.013675676
14376at155619,T. fuscoviolaceum,0.008180781
14379at155619,T. abietinum,0.013201142
14379at155619,T. fuscoviolaceum,0.018982952
14586at155619,T. abietinum,0.020950736
14586at155619,T. fuscoviolaceum,0.030612573
14628at155619,T. fuscoviolaceum,0.009851664
14628at155619,T. abietinum,0.01734911
14664at155619,T. abietinum,0.017562718
14664at155619,T. fuscoviolaceum,0.014021379
14732at155619,T. abietinum,0.018957709
14732at155619,T. fuscoviolaceum,0.013207785
14863at155619,T. abietinum,0.013975185
14863at155619,T. fuscoviolaceum,0.01036923
14884at155619,T. abietinum,0.023823681
14884at155619,T. fuscoviolaceum,0.012579599
15198at155619,T. fuscoviolaceum,0.012469982
15198at155619,T. abietinum,0.02162023
1520at155619,T. fuscoviolaceum,0.011225667
1520at155619,T. abietinum,0.014290969
15242at155619,T. abietinum,0.016294703
15242at155619,T. fuscoviolaceum,0.006506077
15275at155619,T. abietinum,0.01786555
15275at155619,T. fuscoviolaceum,0.012106689
15287at155619,T. fuscoviolaceum,0.021283491
15287at155619,T. abietinum,0.017926635
152at155619,T. fuscoviolaceum,0.023254363
152at155619,T. abietinum,0.018527475
15315at155619,T. abietinum,0.014910716
15315at155619,T. fuscoviolaceum,0.012102776
15341at155619,T. abietinum,0.017818817
15341at155619,T. fuscoviolaceum,0.00761508
15424at155619,T. fuscoviolaceum,0.00986488
15424at155619,T. abietinum,0.015882961
15611at155619,T. fuscoviolaceum,0.015228329
15611at155619,T. abietinum,0.011527059
15628at155619,T. abietinum,0.014946719
15628at155619,T. fuscoviolaceum,0.013337257
15704at155619,T. fuscoviolaceum,0.009403587
15704at155619,T. abietinum,0.018889597
15732at155619,T. fuscoviolaceum,0.028825957
15732at155619,T. abietinum,0.010676722
15762at155619,T. fuscoviolaceum,0.011738877
15762at155619,T. abietinum,0.011116066
15791at155619,T. abietinum,0.007756066
15791at155619,T. fuscoviolaceum,0.005649245
15795at155619,T. fuscoviolaceum,0.014370843
15795at155619,T. abietinum,0.012355585
1581at155619,T. fuscoviolaceum,0.006098477
1581at155619,T. abietinum,0.021182361
1586at155619,T. fuscoviolaceum,0.018503439
1586at155619,T. abietinum,0.011736474
15886at155619,T. fuscoviolaceum,0.0110657
15886at155619,T. abietinum,0.017769086
1588at155619,T. fuscoviolaceum,0.011459995
1588at155619,T. abietinum,0.016284987
15997at155619,T. fuscoviolaceum,0.005742624
15997at155619,T. abietinum,0.019383013
16013at155619,T. fuscoviolaceum,0.015806911
16013at155619,T. abietinum,0.01659579
16038at155619,T. fuscoviolaceum,0.013171615
16038at155619,T. abietinum,0.013459514
16068at155619,T. abietinum,0.027799252
16068at155619,T. fuscoviolaceum,0.015479226
16171at155619,T. fuscoviolaceum,0.004667679
16171at155619,T. abietinum,0.018119544
16231at155619,T. fuscoviolaceum,0.006808335
16231at155619,T. abietinum,0.025789318
16251at155619,T. fuscoviolaceum,0.006746838
16251at155619,T. abietinum,0.009461527
16297at155619,T. abietinum,0.009654803
16297at155619,T. fuscoviolaceum,0.011731869
16301at155619,T. fuscoviolaceum,0.017544093
16301at155619,T. abietinum,0.011245743
16347at155619,T. fuscoviolaceum,0.005781391
16347at155619,T. abietinum,0.019815856
16425at155619,T. fuscoviolaceum,0.003762227
16425at155619,T. abietinum,0.016938579
16542at155619,T. fuscoviolaceum,0.014205412
16542at155619,T. abietinum,0.013204031
16558at155619,T. fuscoviolaceum,0.013835115
16558at155619,T. abietinum,0.01537451
16610at155619,T. fuscoviolaceum,0.002452542
16610at155619,T. abietinum,0.011141256
16649at155619,T. fuscoviolaceum,0.019467524
16649at155619,T. abietinum,0.015558498
16659at155619,T. fuscoviolaceum,0.005965211
16659at155619,T. abietinum,0.014531296
16677at155619,T. abietinum,0.017331416
16677at155619,T. fuscoviolaceum,0.00415976
16686at155619,T. fuscoviolaceum,0.007195987
16686at155619,T. abietinum,0.006305927
16707at155619,T. fuscoviolaceum,0.017779116
16707at155619,T. abietinum,0.02022409
16808at155619,T. fuscoviolaceum,0.003708622
16808at155619,T. abietinum,0.012632649
16881at155619,T. abietinum,0.019556741
16881at155619,T. fuscoviolaceum,0.027162528
16913at155619,T. fuscoviolaceum,0.021082341
16913at155619,T. abietinum,0.016163445
17036at155619,T. abietinum,0.015089677
17036at155619,T. fuscoviolaceum,0.017947844
17087at155619,T. abietinum,0.021038113
17087at155619,T. fuscoviolaceum,0.020587247
17119at155619,T. abietinum,0.019883288
17119at155619,T. fuscoviolaceum,0.017277546
17120at155619,T. fuscoviolaceum,0.011562437
17120at155619,T. abietinum,0.016750207
17226at155619,T. abietinum,0.020406294
17226at155619,T. fuscoviolaceum,0.006542032
17242at155619,T. abietinum,0.008429448
17242at155619,T. fuscoviolaceum,0.020989351
17260at155619,T. abietinum,0.017161228
17260at155619,T. fuscoviolaceum,0.011968821
17280at155619,T. fuscoviolaceum,0.019438703
17280at155619,T. abietinum,0.020720611
17306at155619,T. abietinum,0.016579626
17306at155619,T. fuscoviolaceum,0.010124383
17316at155619,T. fuscoviolaceum,0.005734008
17316at155619,T. abietinum,0.015799716
17392at155619,T. fuscoviolaceum,0.020262342
17392at155619,T. abietinum,0.018204007
17441at155619,T. fuscoviolaceum,0.009790589
17441at155619,T. abietinum,0.011962141
17529at155619,T. abietinum,0.018047097
17529at155619,T. fuscoviolaceum,0.009088269
17563at155619,T. fuscoviolaceum,0.003292373
17563at155619,T. abietinum,0.012090484
17612at155619,T. fuscoviolaceum,0.017223728
17612at155619,T. abietinum,0.021235665
17669at155619,T. fuscoviolaceum,0.007220372
17669at155619,T. abietinum,0.019521109
17860at155619,T. fuscoviolaceum,0.006114054
17860at155619,T. abietinum,0.019811619
17887at155619,T. fuscoviolaceum,0.009917115
17887at155619,T. abietinum,0.013657223
17927at155619,T. fuscoviolaceum,0.014937236
17927at155619,T. abietinum,0.023079121
17956at155619,T. fuscoviolaceum,0.007420247
17956at155619,T. abietinum,0.023311161
17991at155619,T. fuscoviolaceum,0.011739285
17991at155619,T. abietinum,0.019449999
18034at155619,T. abietinum,0.026550176
18034at155619,T. fuscoviolaceum,0.007978504
1804at155619,T. fuscoviolaceum,0.011362641
1804at155619,T. abietinum,0.021196649
18096at155619,T. fuscoviolaceum,0.007848325
18096at155619,T. abietinum,0.010784162
18154at155619,T. fuscoviolaceum,0.015407006
18154at155619,T. abietinum,0.016532518
18163at155619,T. abietinum,0.04397269
18163at155619,T. fuscoviolaceum,0.013711863
18204at155619,T. fuscoviolaceum,0.001739011
18204at155619,T. abietinum,0.014325408
18206at155619,T. fuscoviolaceum,0.015361137
18206at155619,T. abietinum,0.027978911
18296at155619,T. fuscoviolaceum,0.005732989
18296at155619,T. abietinum,0.012785519
18323at155619,T. fuscoviolaceum,0.011106061
18323at155619,T. abietinum,0.023875923
18326at155619,T. fuscoviolaceum,0.012336378
18326at155619,T. abietinum,0.017422237
18428at155619,T. fuscoviolaceum,0.024505621
18428at155619,T. abietinum,0.017979752
18432at155619,T. fuscoviolaceum,0.018729751
18432at155619,T. abietinum,0.015861969
18478at155619,T. fuscoviolaceum,0.006940404
18478at155619,T. abietinum,0.015601814
18515at155619,T. abietinum,0.023234409
18515at155619,T. fuscoviolaceum,0.006576273
18581at155619,T. fuscoviolaceum,0.028214138
18581at155619,T. abietinum,0.024808135
18620at155619,T. fuscoviolaceum,0.007090735
18620at155619,T. abietinum,0.015378706
18677at155619,T. fuscoviolaceum,0.012784798
18677at155619,T. abietinum,0.014833225
18697at155619,T. abietinum,0.017280445
18697at155619,T. fuscoviolaceum,0.014785337
18708at155619,T. fuscoviolaceum,0.017891767
18708at155619,T. abietinum,0.019517916
18711at155619,T. fuscoviolaceum,0.008992793
18711at155619,T. abietinum,0.018017277
18712at155619,T. abietinum,0.016096565
18712at155619,T. fuscoviolaceum,0.006687545
18802at155619,T. abietinum,0.016667748
18802at155619,T. fuscoviolaceum,0.020577987
18804at155619,T. fuscoviolaceum,0.00516313
18804at155619,T. abietinum,0.02206542
18839at155619,T. fuscoviolaceum,0.012013391
18839at155619,T. abietinum,0.016272041
18862at155619,T. abietinum,0.013176051
18862at155619,T. fuscoviolaceum,0.006664377
18907at155619,T. abietinum,0.016071308
18907at155619,T. fuscoviolaceum,0.021856193
18999at155619,T. fuscoviolaceum,0.010843073
18999at155619,T. abietinum,0.017456319
19019at155619,T. fuscoviolaceum,0.032053712
19019at155619,T. abietinum,0.015414166
19052at155619,T. abietinum,0.014029284
19052at155619,T. fuscoviolaceum,0.022655308
19103at155619,T. abietinum,0.015534284
19103at155619,T. fuscoviolaceum,0.013895863
19204at155619,T. abietinum,0.010145387
19204at155619,T. fuscoviolaceum,0.010134323
19416at155619,T. abietinum,0.022053234
19416at155619,T. fuscoviolaceum,0.012973036
19432at155619,T. fuscoviolaceum,0.010661257
19432at155619,T. abietinum,0.014657332
1943at155619,T. abietinum,0.013841565
1943at155619,T. fuscoviolaceum,0.0109742
19590at155619,T. abietinum,0.0182028
19590at155619,T. fuscoviolaceum,0.005276008
19671at155619,T. abietinum,0.017969439
19671at155619,T. fuscoviolaceum,0.011196147
19727at155619,T. fuscoviolaceum,0.017581301
19727at155619,T. abietinum,0.022441634
19846at155619,T. abietinum,0.016889109
19846at155619,T. fuscoviolaceum,0.013133208
19853at155619,T. abietinum,0.021366489
19853at155619,T. fuscoviolaceum,0.009283192
19867at155619,T. abietinum,0.013287106
19867at155619,T. fuscoviolaceum,0.009041141
19966at155619,T. fuscoviolaceum,0.003913905
19966at155619,T. abietinum,0.012116287
20073at155619,T. abietinum,0.021632427
20073at155619,T. fuscoviolaceum,0.016956316
20158at155619,T. abietinum,0.023317139
20158at155619,T. fuscoviolaceum,0.003723626
2016at155619,T. abietinum,0.01558013
2016at155619,T. fuscoviolaceum,0.004634729
20170at155619,T. abietinum,0.009130902
20170at155619,T. fuscoviolaceum,0.007119314
20174at155619,T. fuscoviolaceum,0.005835134
20174at155619,T. abietinum,0.012755422
20253at155619,T. abietinum,0.01384493
20253at155619,T. fuscoviolaceum,0.014334762
20342at155619,T. abietinum,0.013620949
20342at155619,T. fuscoviolaceum,0.010781286
20353at155619,T. abietinum,0.012613815
20353at155619,T. fuscoviolaceum,0.007512607
20538at155619,T. fuscoviolaceum,0.009316705
20538at155619,T. abietinum,0.024173989
20571at155619,T. abietinum,0.020523311
20571at155619,T. fuscoviolaceum,0.007526303
20582at155619,T. abietinum,0.016694866
20582at155619,T. fuscoviolaceum,0.00966261
20610at155619,T. abietinum,0.012160337
20610at155619,T. fuscoviolaceum,0.004402439
20620at155619,T. fuscoviolaceum,0.011219512
20620at155619,T. abietinum,0.018960185
20627at155619,T. abietinum,0.013496701
20627at155619,T. fuscoviolaceum,0.006465806
20684at155619,T. abietinum,0.016530498
20684at155619,T. fuscoviolaceum,0.009270317
20721at155619,T. abietinum,0.009587605
20721at155619,T. fuscoviolaceum,0.01143909
20729at155619,T. abietinum,0.015889868
20729at155619,T. fuscoviolaceum,0.015314117
20735at155619,T. fuscoviolaceum,0.003631004
20735at155619,T. abietinum,0.014088152
20880at155619,T. fuscoviolaceum,0.011724949
20880at155619,T. abietinum,0.017140391
20895at155619,T. abietinum,0.021139941
20895at155619,T. fuscoviolaceum,0.00326743
20920at155619,T. abietinum,0.014800635
20920at155619,T. fuscoviolaceum,0.00957424
20934at155619,T. fuscoviolaceum,0.01153287
20934at155619,T. abietinum,0.014146904
20939at155619,T. fuscoviolaceum,0.001653449
20939at155619,T. abietinum,0.016852507
20979at155619,T. abietinum,0.011473604
20979at155619,T. fuscoviolaceum,0.010805071
21172at155619,T. abietinum,0.019185699
21172at155619,T. fuscoviolaceum,0.015121426
21215at155619,T. fuscoviolaceum,0.008263845
21215at155619,T. abietinum,0.013006091
21271at155619,T. fuscoviolaceum,0.007058975
21271at155619,T. abietinum,0.011467903
21387at155619,T. abietinum,0.017080431
21387at155619,T. fuscoviolaceum,0.007014233
21421at155619,T. fuscoviolaceum,0.002872097
21421at155619,T. abietinum,0.013425554
2144at155619,T. fuscoviolaceum,0.01417605
2144at155619,T. abietinum,0.022459153
21555at155619,T. fuscoviolaceum,0.007197947
21555at155619,T. abietinum,0.021452399
21584at155619,T. abietinum,0.009672758
21584at155619,T. fuscoviolaceum,0.015775715
21599at155619,T. fuscoviolaceum,0.016028846
21599at155619,T. abietinum,0.020737404
21624at155619,T. fuscoviolaceum,0.01500434
21624at155619,T. abietinum,0.021193642
21628at155619,T. fuscoviolaceum,0.008537963
21628at155619,T. abietinum,0.015920453
21744at155619,T. fuscoviolaceum,0.01665251
21744at155619,T. abietinum,0.015934906
21872at155619,T. fuscoviolaceum,0.018694828
21872at155619,T. abietinum,0.01785996
21902at155619,T. fuscoviolaceum,0.005885861
21902at155619,T. abietinum,0.015980835
21918at155619,T. fuscoviolaceum,0.01916823
21918at155619,T. abietinum,0.017790322
22216at155619,T. fuscoviolaceum,0.009778487
22216at155619,T. abietinum,0.015949792
22222at155619,T. abietinum,0.018875584
22222at155619,T. fuscoviolaceum,0.006774242
22238at155619,T. fuscoviolaceum,0.008793914
22238at155619,T. abietinum,0.023139427
2225at155619,T. fuscoviolaceum,0.009921876
2225at155619,T. abietinum,0.011739247
22270at155619,T. fuscoviolaceum,0.006622532
22270at155619,T. abietinum,0.020898178
22292at155619,T. abietinum,0.016010939
22292at155619,T. fuscoviolaceum,0.016852777
22414at155619,T. fuscoviolaceum,0.011304548
22414at155619,T. abietinum,0.01825534
2246at155619,T. fuscoviolaceum,0.015774276
2246at155619,T. abietinum,0.016591754
2249at155619,T. fuscoviolaceum,0.008057529
2249at155619,T. abietinum,0.012938534
22654at155619,T. fuscoviolaceum,0.013675051
22654at155619,T. abietinum,0.016617575
22702at155619,T. fuscoviolaceum,0.011307354
22702at155619,T. abietinum,0.020874599
22906at155619,T. fuscoviolaceum,0.008176904
22906at155619,T. abietinum,0.016912736
22942at155619,T. fuscoviolaceum,0.008907056
22942at155619,T. abietinum,0.024402987
22972at155619,T. fuscoviolaceum,0.013230454
22972at155619,T. abietinum,0.014957496
23018at155619,T. abietinum,0.024003527
23018at155619,T. fuscoviolaceum,0.004026798
23023at155619,T. fuscoviolaceum,0.026591082
23023at155619,T. abietinum,0.02049421
23141at155619,T. fuscoviolaceum,0.010776977
23141at155619,T. abietinum,0.012813893
23160at155619,T. fuscoviolaceum,0.017786953
23160at155619,T. abietinum,0.017721047
23179at155619,T. abietinum,0.024708621
23179at155619,T. fuscoviolaceum,0.018972347
23180at155619,T. fuscoviolaceum,0.008808435
23180at155619,T. abietinum,0.016654986
2319at155619,T. abietinum,0.015367865
2319at155619,T. fuscoviolaceum,0.01493486
23204at155619,T. abietinum,0.019918707
23204at155619,T. fuscoviolaceum,0.011470996
23216at155619,T. abietinum,0.014804936
23216at155619,T. fuscoviolaceum,0.017718415
23227at155619,T. fuscoviolaceum,0.003641866
23227at155619,T. abietinum,0.016522943
23251at155619,T. abietinum,0.017819968
23251at155619,T. fuscoviolaceum,0.011901428
23328at155619,T. abietinum,0.014359347
23328at155619,T. fuscoviolaceum,0.002812807
23427at155619,T. abietinum,0.015391504
23427at155619,T. fuscoviolaceum,0.01879792
23468at155619,T. fuscoviolaceum,0.012440426
23468at155619,T. abietinum,0.025170505
23530at155619,T. abietinum,0.013005253
23530at155619,T. fuscoviolaceum,0.004587817
23613at155619,T. fuscoviolaceum,0.01504754
23613at155619,T. abietinum,0.020905568
23746at155619,T. fuscoviolaceum,0.01331638
23746at155619,T. abietinum,0.019554045
23753at155619,T. fuscoviolaceum,0.006959433
23753at155619,T. abietinum,0.023951945
23765at155619,T. abietinum,0.008147756
23765at155619,T. fuscoviolaceum,0.003897771
23824at155619,T. fuscoviolaceum,0.014535509
23824at155619,T. abietinum,0.015265669
23837at155619,T. fuscoviolaceum,0.004662934
23837at155619,T. abietinum,0.017803556
23945at155619,T. fuscoviolaceum,0.006765845
23945at155619,T. abietinum,0.018482872
23952at155619,T. fuscoviolaceum,0.019968013
23952at155619,T. abietinum,0.019391652
2408at155619,T. fuscoviolaceum,0.007847969
2408at155619,T. abietinum,0.012914061
24174at155619,T. fuscoviolaceum,0.019272734
24174at155619,T. abietinum,0.022228655
24261at155619,T. fuscoviolaceum,0.014776552
24261at155619,T. abietinum,0.015998359
2427at155619,T. fuscoviolaceum,0.005666526
2427at155619,T. abietinum,0.011862188
24334at155619,T. abietinum,0.014442962
24334at155619,T. fuscoviolaceum,0.012773043
24345at155619,T. fuscoviolaceum,0.011438573
24345at155619,T. abietinum,0.02346665
24374at155619,T. fuscoviolaceum,0.011340006
24374at155619,T. abietinum,0.023189164
24440at155619,T. fuscoviolaceum,0.006458582
24440at155619,T. abietinum,0.009609436
24448at155619,T. abietinum,0.015158913
24448at155619,T. fuscoviolaceum,0.006812447
24463at155619,T. fuscoviolaceum,0.00685343
24463at155619,T. abietinum,0.015488875
24467at155619,T. fuscoviolaceum,0.007975942
24467at155619,T. abietinum,0.016207492
24750at155619,T. fuscoviolaceum,0.004827932
24750at155619,T. abietinum,0.014163197
24753at155619,T. fuscoviolaceum,0.009768196
24753at155619,T. abietinum,0.017344897
24909at155619,T. fuscoviolaceum,0.011641782
24909at155619,T. abietinum,0.016756371
25014at155619,T. fuscoviolaceum,0.004803289
25014at155619,T. abietinum,0.017285964
25035at155619,T. fuscoviolaceum,0.012773723
25035at155619,T. abietinum,0.021829988
25044at155619,T. fuscoviolaceum,0.019200255
25044at155619,T. abietinum,0.019727748
25069at155619,T. abietinum,0.016530648
25069at155619,T. fuscoviolaceum,0.010058612
25171at155619,T. fuscoviolaceum,0.004943089
25171at155619,T. abietinum,0.020367667
25191at155619,T. fuscoviolaceum,0.020878434
25191at155619,T. abietinum,0.015959368
25195at155619,T. fuscoviolaceum,0.007251928
25195at155619,T. abietinum,0.012609166
25214at155619,T. abietinum,0.023704684
25214at155619,T. fuscoviolaceum,0.008680736
25342at155619,T. fuscoviolaceum,0.009753814
25342at155619,T. abietinum,0.018508382
25353at155619,T. fuscoviolaceum,0.007356871
25353at155619,T. abietinum,0.014766344
25597at155619,T. fuscoviolaceum,0.005312335
25597at155619,T. abietinum,0.018149555
25684at155619,T. abietinum,0.01273348
25684at155619,T. fuscoviolaceum,0.006489328
25698at155619,T. fuscoviolaceum,0.009900785
25698at155619,T. abietinum,0.013898825
25702at155619,T. fuscoviolaceum,0.005694046
25702at155619,T. abietinum,0.009706691
25725at155619,T. fuscoviolaceum,0.018874862
25725at155619,T. abietinum,0.018139731
25743at155619,T. abietinum,0.017065494
25743at155619,T. fuscoviolaceum,0.024245146
25820at155619,T. fuscoviolaceum,0.006689307
25820at155619,T. abietinum,0.016428974
2586at155619,T. fuscoviolaceum,0.008392891
2586at155619,T. abietinum,0.015413588
25990at155619,T. fuscoviolaceum,0.021510145
25990at155619,T. abietinum,0.022894768
26059at155619,T. abietinum,0.017189208
26059at155619,T. fuscoviolaceum,0.01972815
