GeneName,Comparison,count,dS_median,dS_mean,dS_SD,dN_median,dN_mean,dN_SD
1103at155619,T. fuscoviolaceum,820,0.05885,0.05238939,0.047497099,0.004,0.003909268,0.003758557
11046at155619,between,5658,0.3135,0.313827041,0.013832862,0.0705,0.070367197,0.006581596
11046at155619,T. abietinum,9453,0.0803,0.068257675,0.034954791,0.0297,0.02459689,0.013404697
11046at155619,T. fuscoviolaceum,820,0.0074,0.02779061,0.030895996,0.0087,0.00646939,0.004682449
11055at155619,between,5658,0.38045,0.370328473,0.038668416,0.0128,0.012383952,0.002954962
11055at155619,T. abietinum,9453,0.0842,0.07642231,0.043707567,0.0016,0.002209246,0.003153773
11055at155619,T. fuscoviolaceum,820,0.0584,0.07468061,0.038603219,0.0021,0.002379146,0.002021234
11074at155619,between,5658,0.2995,0.300928597,0.014243326,0.0408,0.040135525,0.003178048
11074at155619,T. abietinum,9453,0.0608,0.058606866,0.027256545,0.0109,0.010656913,0.00495517
11074at155619,T. fuscoviolaceum,820,0.0181,0.024526829,0.026346951,0.0013,0.002874634,0.004335487
11077at155619,between,5658,0.41095,0.417464669,0.029903232,0.0181,0.017511029,0.003687673
11077at155619,T. abietinum,9453,0.1028,0.127474484,0.090816128,0.0011,0.002750608,0.003902632
11077at155619,T. fuscoviolaceum,820,0.0517,0.106465244,0.090283225,0.0011,0.00295061,0.002994294
11156at155619,between,5658,0.4707,0.473126511,0.017225725,0.0415,0.043626759,0.005642172
11156at155619,T. abietinum,9453,0.1042,0.092479446,0.049464181,0.0141,0.013028182,0.007666766
11156at155619,T. fuscoviolaceum,820,0.0736,0.089146829,0.065698396,0.0083,0.007314146,0.004268294
11217at155619,between,5658,0.3362,0.336676193,0.021489275,0.1439,0.14438701,0.007429678
11217at155619,T. abietinum,9453,0.0849,0.077023061,0.041718501,0.03,0.029240685,0.017169719
11217at155619,T. fuscoviolaceum,820,0.05995,0.059998537,0.038043762,0.0203,0.02319622,0.013689627
11278at155619,between,5658,0.4782,0.479890403,0.028302258,0.0105,0.012371721,0.004425985
11278at155619,T. abietinum,9453,0.126,0.108101999,0.051861036,0.0055,0.007077806,0.004885772
11278at155619,T. fuscoviolaceum,820,0.0399,0.044573049,0.032027394,0.0018,0.002825976,0.003983387
11313at155619,between,5658,0.2389,0.238558324,0.010250921,0.0541,0.057776617,0.009220153
11313at155619,T. abietinum,9453,0.0541,0.059261208,0.037606285,0.0128,0.015828414,0.012489969
11313at155619,T. fuscoviolaceum,820,0.004,0.008819878,0.008265994,0.0016,0.002272073,0.002005837
11314at155619,between,5658,0.3183,0.316606734,0.016052961,0.0124,0.012553606,0.002079269
11314at155619,T. abietinum,9453,0.1042,0.099362054,0.049874274,0.0026,0.003243933,0.002114072
11314at155619,T. fuscoviolaceum,820,0.0347,0.034524146,0.016559952,0.0031,0.00290122,0.00210965
11428at155619,between,5658,0.3052,0.304037434,0.011777915,0.0252,0.025381601,0.00148149
11428at155619,T. abietinum,9453,0.0551,0.058931355,0.033040683,0.0035,0.004079467,0.003426172
11428at155619,T. fuscoviolaceum,820,0.0457,0.040227317,0.036144208,0.004,0.004073537,0.003430606
11480at155619,between,5658,0.3722,0.373858218,0.017417952,0.049,0.050329445,0.005988831
11480at155619,T. abietinum,9453,0.0225,0.060053126,0.059208049,0.0044,0.009046535,0.010453062
11480at155619,T. fuscoviolaceum,820,0.08875,0.081386951,0.059237396,0.0078,0.009609634,0.007343243
11483at155619,between,5658,0.2813,0.283058095,0.0120267,0.0072,0.007269707,0.00115388
11483at155619,T. abietinum,9453,0.0888,0.071236317,0.044052346,0.001,0.000686988,0.000832427
11483at155619,T. fuscoviolaceum,820,0.0567,0.05201939,0.029855669,0,0.001318415,0.001509503
11586at155619,between,5658,0.3052,0.305667444,0.016714413,0.0316,0.031521562,0.005701463
11586at155619,T. abietinum,9453,0.0517,0.061264064,0.038049714,0.0108,0.010720184,0.005132619
11586at155619,T. fuscoviolaceum,820,0.053,0.049619512,0.032259112,0.0164,0.014035244,0.008236317
11687at155619,between,5658,0.3994,0.400849717,0.020429506,0.0567,0.057755532,0.005651404
11687at155619,T. abietinum,9453,0.0882,0.090750143,0.056857797,0.0153,0.014112578,0.009273631
11687at155619,T. fuscoviolaceum,820,0.1187,0.122612927,0.090222104,0.0292,0.025247927,0.016120859
11715at155619,between,5658,0.522,0.516155673,0.036992751,0.0181,0.018963415,0.004144852
11715at155619,T. abietinum,9453,0.1046,0.101988268,0.068053208,0.0036,0.004276949,0.004411266
11715at155619,T. fuscoviolaceum,820,0.1001,0.088827317,0.041628499,0.0012,0.002897073,0.002620794
11823at155619,between,5658,0.33185,0.334000106,0.026442848,0.0053,0.005397137,0.000781887
11823at155619,T. abietinum,9453,0.0876,0.093363493,0.043513302,0.0011,0.001838855,0.001966659
11823at155619,T. fuscoviolaceum,820,0.023,0.047404146,0.04305722,0,0.00047439,0.000571358
11828at155619,between,5658,0.2665,0.277563326,0.02300161,0.0087,0.008762443,0.001831586
11828at155619,T. abietinum,9453,0.0341,0.076813234,0.069613693,0,0.000983381,0.001918911
11828at155619,T. fuscoviolaceum,820,0.0668,0.070818659,0.068710989,0.0035,0.003100732,0.00294441
11877at155619,between,5658,0.2758,0.277934942,0.011384537,0.027,0.026816296,0.002385919
11877at155619,T. abietinum,9453,0.0734,0.075832149,0.046131206,0.0104,0.009221041,0.005175654
11877at155619,T. fuscoviolaceum,820,0.0113,0.047813415,0.051438247,0.0034,0.006328293,0.005004416
11939at155619,between,5658,0.3531,0.353785914,0.017391608,0.0148,0.015040597,0.000951116
11939at155619,T. abietinum,9453,0.0652,0.069247604,0.048890637,0.0013,0.002310156,0.002319291
11939at155619,T. fuscoviolaceum,820,0.0166,0.037453415,0.042516724,0,0.001763415,0.002182375
12021at155619,between,5658,0.45745,0.454142011,0.022166716,0.0207,0.021278031,0.002146865
12021at155619,T. abietinum,9453,0.0862,0.081209584,0.054002166,0.0033,0.003641246,0.002172726
12021at155619,T. fuscoviolaceum,820,0.08065,0.086449878,0.059740993,0.0033,0.003615488,0.00237796
12091at155619,between,5658,0.3451,0.371877925,0.223409365,0.0023,0.013537487,0.092342369
12091at155619,T. abietinum,9453,0.109,0.143945192,0.327015898,0.0011,0.023709214,0.129568303
12091at155619,T. fuscoviolaceum,820,0.0611,0.03930622,0.031543957,0,0.000161341,0.000402168
12094at155619,between,5658,0.4304,0.429901096,0.021610372,0.0063,0.006941799,0.00118201
12094at155619,T. abietinum,9453,0.1295,0.097484481,0.073205973,0.0013,0.002077658,0.002029705
12094at155619,T. fuscoviolaceum,820,0.0141,0.035492683,0.065188034,0,0.000573902,0.000714529
12097at155619,between,5658,0.3687,0.370242294,0.01408791,0.0062,0.006929357,0.001922145
12097at155619,T. abietinum,9453,0.1026,0.093293473,0.048565344,0.0021,0.003541987,0.002993037
12097at155619,T. fuscoviolaceum,820,0.0074,0.040395366,0.047033699,0.001,0.001434756,0.001451646
12154at155619,between,5658,0.3418,0.33905585,0.01719753,0.0025,0.002936585,0.001149065
12154at155619,T. abietinum,9453,0.0669,0.058092108,0.03777888,0,0.000556818,0.000819766
12154at155619,T. fuscoviolaceum,820,0.0406,0.049378415,0.029540977,0.0012,0.001346585,0.001041367
12163at155619,between,5658,0.3776,0.376406027,0.01694231,0.0723,0.072739396,0.004936645
12163at155619,T. abietinum,9453,0.0601,0.068509362,0.051722846,0.0206,0.020709098,0.012401841
12163at155619,T. fuscoviolaceum,820,0.1694,0.111769024,0.087827823,0.0351,0.026492683,0.019733234
12197at155619,between,5658,0.34605,0.352384765,0.020260965,0.0091,0.009348321,0.001663644
12197at155619,T. abietinum,9453,0.0385,0.070562202,0.060292871,0,0.000453496,0.002303775
12197at155619,T. fuscoviolaceum,820,0.0048,0.045851098,0.053767168,0,0,0
12216at155619,between,5658,0.3045,0.318711382,0.023840424,0.0078,0.007835861,0.002036789
12216at155619,T. abietinum,9453,0.0865,0.059643626,0.042852325,0.0034,0.004347562,0.003559024
12216at155619,T. fuscoviolaceum,820,0.0086,0.008695854,0.004945484,0,0.00026561,0.000598176
12343at155619,between,5658,0.291,0.292626529,0.010653019,0.0061,0.005844574,0.001545091
12343at155619,T. abietinum,9453,0.0705,0.072244896,0.044496256,0.0026,0.003073902,0.002343237
12343at155619,T. fuscoviolaceum,820,0.0075,0.037653171,0.042783083,9.00E-04,0.000982683,0.000916018
12351at155619,between,5658,0.462,0.46356375,0.02483788,0.0546,0.058734093,0.009048621
12351at155619,T. abietinum,9453,0.0992,0.122782387,0.068546433,0.0238,0.021952756,0.013198068
12351at155619,T. fuscoviolaceum,820,0.0242,0.071365976,0.067516474,0.0056,0.014313537,0.013279852
12387at155619,between,5658,0.3497,0.353715801,0.020440676,0.0103,0.010612602,0.002398768
12387at155619,T. abietinum,9453,0.0676,0.082670274,0.055887362,0.0052,0.0043106,0.002467723
12387at155619,T. fuscoviolaceum,820,0.0031,0.004608537,0.003389123,0,0.000621463,0.00076903
12408at155619,between,5658,0.3734,0.375570449,0.027969908,0.0134,0.013839201,0.001604698
12408at155619,T. abietinum,9453,0.0726,0.090674611,0.065240369,0.004,0.003628605,0.00257008
12408at155619,T. fuscoviolaceum,820,0.027,0.050972805,0.046352641,0.002,0.002173902,0.001658861
1249at155619,between,5658,0.3786,0.380384677,0.018217917,0.0048,0.004894062,0.00171012
1249at155619,T. abietinum,9453,0.0679,0.075890585,0.045948357,0.0018,0.001910822,0.001396672
1249at155619,T. fuscoviolaceum,820,0.0084,0.063233293,0.073087735,6.00E-04,0.001090244,0.00117081
1255at155619,between,5658,0.5386,0.525990792,0.040063986,0.0234,0.023888865,0.001633344
1255at155619,T. abietinum,9453,0.1361,0.105445425,0.078376337,0.0057,0.004777404,0.003317174
1255at155619,T. fuscoviolaceum,820,0.0176,0.023481707,0.024435982,0.00035,0.001042195,0.001331079
12623at155619,between,5658,0.4283,0.432983298,0.026788156,0.0311,0.031170944,0.002695539
12623at155619,T. abietinum,9453,0.0856,0.077538295,0.038988744,0.0063,0.006912557,0.003814716
12623at155619,T. fuscoviolaceum,820,0.0127,0.04342878,0.04540255,0.0031,0.004269024,0.003155226
12689at155619,between,5658,0.2778,0.288335719,0.032623883,0.0256,0.02581801,0.002849822
12689at155619,T. abietinum,9453,0.0644,0.063651254,0.038215523,0.0103,0.010035523,0.0052162
12689at155619,T. fuscoviolaceum,820,0.0918,0.098717561,0.061836006,0.0057,0.006404146,0.004115613
12798at155619,between,5658,0.3638,0.36343245,0.022729316,0.0344,0.034868947,0.005063136
12798at155619,T. abietinum,9453,0.1001,0.088234338,0.051818248,0.0162,0.015890014,0.009674029
12798at155619,T. fuscoviolaceum,820,0.0759,0.089159634,0.073031859,0.017,0.01508622,0.010453213
12864at155619,between,5658,0.4111,0.41978298,0.045485761,0.018,0.017879516,0.002933403
12864at155619,T. abietinum,9453,0.0972,0.093986692,0.06146866,0.0051,0.005248842,0.004132725
12864at155619,T. fuscoviolaceum,820,0.1999,0.161967683,0.082379617,0.0076,0.006786098,0.0042057
12911at155619,between,5658,0.4388,0.439683068,0.034592251,0.0134,0.013483121,0.001929652
12911at155619,T. abietinum,9453,0.1066,0.109610949,0.059407538,0.0042,0.004103068,0.002652632
12911at155619,T. fuscoviolaceum,820,0.0253,0.076784146,0.078976553,0.0028,0.004904878,0.004051931
12931at155619,between,5658,0.3449,0.343640173,0.022611352,0.006,0.005921881,0.001260084
12931at155619,T. abietinum,9453,0.1031,0.101136496,0.047555007,0.0012,0.001245954,0.001299287
12931at155619,T. fuscoviolaceum,820,0.0271,0.057903049,0.05250585,0.0012,0.001161951,0.000917882
12939at155619,between,5658,0.3698,0.372841941,0.025376462,0.0119,0.012979127,0.005056744
12939at155619,T. abietinum,9453,0.0832,0.076806104,0.033994794,0.0032,0.003480726,0.002106366
12939at155619,T. fuscoviolaceum,820,0.092,0.079411951,0.048553246,0.0109,0.008684268,0.005982656
12945at155619,between,5658,0.2696,0.271423878,0.009535291,0.0221,0.022537663,0.00213282
12945at155619,T. abietinum,9453,0.0354,0.047049445,0.033816792,0.0035,0.003924754,0.003241383
12945at155619,T. fuscoviolaceum,820,0.0027,0.010916585,0.011571156,0,0.001171098,0.001418354
13042at155619,between,5658,0.2878,0.289159685,0.023423874,0.0024,0.002779427,0.000687966
13042at155619,T. abietinum,9453,0.0633,0.060858447,0.028291592,0,0.000104856,0.000346445
13042at155619,T. fuscoviolaceum,820,0.034,0.041052561,0.032865346,0,0.000570732,0.000712232
13132at155619,between,5658,0.2958,0.298108042,0.023259926,0.0087,0.009484217,0.001506818
13132at155619,T. abietinum,9453,0.0828,0.084818692,0.033198427,0.001,0.001736782,0.001475903
13132at155619,T. fuscoviolaceum,820,0.0638,0.064592317,0.033586567,0,0.001337805,0.001537694
13366at155619,between,5658,0.3044,0.350340898,0.077926379,0.0631,0.085565712,0.032104132
13366at155619,T. abietinum,9453,0.1002,0.103874759,0.06259877,0.0384,0.049970158,0.039758733
13366at155619,T. fuscoviolaceum,820,0.0593,0.053676707,0.057014513,0.0095,0.027960854,0.035302203
13371at155619,between,5658,0.2499,0.259811241,0.03069656,0.008,0.007690686,0.000715222
13371at155619,T. abietinum,9453,0.0702,0.072265027,0.04531206,0,0.000252534,0.000535839
13371at155619,T. fuscoviolaceum,820,0.0214,0.055290488,0.050860675,0,0.000442683,0.000539758
1345at155619,between,5658,0.6786,0.688884624,0.053689116,0.0177,0.017484765,0.002571249
1345at155619,T. abietinum,9453,0.1134,0.131636634,0.078784997,0.0058,0.005929874,0.003386818
1345at155619,T. fuscoviolaceum,820,0.0468,0.048829756,0.023059225,7.00E-04,0.001380366,0.002120708
13478at155619,between,5658,0.3433,0.349459615,0.024027775,0.0198,0.027078932,0.014901711
13478at155619,T. abietinum,9453,0.119,0.100617402,0.062006497,0.0127,0.019337025,0.019221183
13478at155619,T. fuscoviolaceum,820,0.0061,0.071337561,0.086129267,0.0013,0.004222195,0.004848045
13631at155619,between,5658,0.3417,0.343395741,0.013777145,0.0275,0.028006716,0.002016206
13631at155619,T. abietinum,9453,0.036,0.059821633,0.049025141,0.0044,0.00494388,0.00402992
13631at155619,T. fuscoviolaceum,820,0.0131,0.034116585,0.040713356,0.0022,0.00507122,0.006788479
13672at155619,between,5658,0.3505,0.355953835,0.022609427,0.0559,0.057141198,0.007529173
13672at155619,T. abietinum,9453,0.05,0.061530509,0.038392149,0.0102,0.01246325,0.007822152
13672at155619,T. fuscoviolaceum,820,0.0278,0.100458415,0.104622239,0.0072,0.016950488,0.016556849
13736at155619,between,5658,0.3314,0.3331272,0.0218531,0.0645,0.066868788,0.014518175
13736at155619,T. abietinum,9453,0.0919,0.079077552,0.045027246,0.0199,0.022344557,0.02319602
13736at155619,T. fuscoviolaceum,820,0.006,0.01394378,0.013062734,0.002,0.003660488,0.00316865
13786at155619,between,5658,0.3379,0.336019777,0.015746977,0.0203,0.021490297,0.00534777
13786at155619,T. abietinum,9453,0.0491,0.05382541,0.044982116,0.0028,0.003460108,0.002832202
13786at155619,T. fuscoviolaceum,820,0.12665,0.113055976,0.070825538,0.0085,0.009468902,0.007182814
13831at155619,between,5658,0.5074,0.503939254,0.023578596,0.0238,0.024138494,0.001602111
13831at155619,T. abietinum,9453,0.0845,0.085641934,0.042010389,0.005,0.004894097,0.002105111
13831at155619,T. fuscoviolaceum,820,0.0226,0.019570488,0.010715237,0.0014,0.001306829,0.000863662
13949at155619,between,5658,0.3502,0.352222959,0.017437471,0.0015,0.001884871,0.000772435
13949at155619,T. abietinum,9453,0.0948,0.085497302,0.038977695,0,0.000402179,0.000956459
13949at155619,T. fuscoviolaceum,820,0.0439,0.078153171,0.074031301,0,0,0
13952at155619,between,5658,0.3491,0.356917462,0.032781913,0.0129,0.011942506,0.00232273
13952at155619,T. abietinum,9453,0.0459,0.080029906,0.063334839,0.0011,0.002157728,0.002595442
13952at155619,T. fuscoviolaceum,820,0.0052,0.031534024,0.03716052,0.0011,0.001421098,0.00156313
1396at155619,between,5658,0.4253,0.425187681,0.016695701,0.0278,0.027558678,0.002142273
1396at155619,T. abietinum,9453,0.094,0.094969988,0.03455481,0.0083,0.008449328,0.003556975
1396at155619,T. fuscoviolaceum,820,0.02095,0.047799878,0.043521064,0.0022,0.003005488,0.002687348
13989at155619,between,5658,0.4,0.405428844,0.039845871,0.09,0.090266543,0.006930012
13989at155619,T. abietinum,9453,0.0926,0.096328531,0.053252364,0.0267,0.032840908,0.021675318
13989at155619,T. fuscoviolaceum,820,0.0061,0.096585366,0.117241241,0.0029,0.016598049,0.017751
14031at155619,between,5658,0.29165,0.293300707,0.018547251,0.0075,0.00693883,0.001066734
14031at155619,T. abietinum,9453,0.0438,0.046666995,0.033250971,0,0.000936528,0.001138705
14031at155619,T. fuscoviolaceum,820,0.0439,0.041182317,0.024865726,0.0015,0.000954878,0.000999591
14154at155619,between,5658,0.5467,0.542844256,0.03054969,0.0244,0.023558006,0.002750383
14154at155619,T. abietinum,9453,0.0819,0.093776748,0.059132856,0.0078,0.007519867,0.004850861
14154at155619,T. fuscoviolaceum,820,0.1964,0.207938537,0.155480743,0.0069,0.006276829,0.00427484
14168at155619,between,5658,0.2482,0.247845794,0.019337898,0.0577,0.058234783,0.006830201
14168at155619,T. abietinum,9453,0.1139,0.085269311,0.068489631,0.0192,0.015096001,0.010787417
14168at155619,T. fuscoviolaceum,820,0.0774,0.056822317,0.038598564,0.0178,0.01495,0.0111352
14216at155619,between,5658,0.3258,0.338629975,0.145904346,0.0043,0.008423277,0.050523101
14216at155619,T. abietinum,9453,0.0463,0.075464498,0.227537769,0,0.009620216,0.071863979
14216at155619,T. fuscoviolaceum,820,0.0112,0.023572805,0.022609709,0,0.000995122,0.001113301
1432at155619,between,5658,0.4222,0.408741605,0.026668553,0.0242,0.024359261,0.001493167
1432at155619,T. abietinum,9453,0.1032,0.085949233,0.049595766,0.0068,0.006420131,0.003923293
1432at155619,T. fuscoviolaceum,820,0.02315,0.053997195,0.046801207,0.0023,0.005615366,0.005060236
14344at155619,between,5658,0.3886,0.383622322,0.019355436,0.038,0.037546695,0.002813957
14344at155619,T. abietinum,9453,0.0629,0.084346567,0.056231656,0.0062,0.007845404,0.005591887
14344at155619,T. fuscoviolaceum,820,0.0094,0.031766341,0.033137093,0.0031,0.006828293,0.00670259
14376at155619,between,5658,0.3329,0.33462591,0.021901441,0.0063,0.006888123,0.001105538
14376at155619,T. abietinum,9453,0.0917,0.071760129,0.042657091,0.0021,0.002324617,0.002032452
14376at155619,T. fuscoviolaceum,820,0.0182,0.039672561,0.035828174,0.001,0.00097061,0.000895343
14379at155619,between,5658,0.3394,0.354649841,0.034474432,0.0191,0.021545281,0.006597659
14379at155619,T. abietinum,9453,0.0588,0.054095398,0.034185789,0.004,0.007805152,0.008897246
14379at155619,T. fuscoviolaceum,820,0.1593,0.089758171,0.081391594,0.004,0.002621829,0.002203959
